y_true_price,svr_pred_median,svr_pred_lower_90,svr_pred_upper_90,interval_width_90,covered_90
1670.95,1665.5821192340145,1633.9376955195985,1706.3526262361468,72.41493071654827,1
2034.04,2003.9363740967483,1942.6086373149333,2042.7080055844342,100.09936826950093,1
3207.48,2911.2964858892396,2751.4674336900243,3093.88748506102,342.4200513709957,0
585.78,627.4256560865506,601.6112016084631,650.8583016390488,49.24710003058567,0
1337.33,1366.8175708180097,1331.1348375143655,1398.814213876556,67.67937636219062,1
1356.4,1319.224815158907,1291.954395249458,1358.9684721922329,67.01407694277486,1
1215.81,1182.6938136742303,1142.665392638996,1217.7829609504474,75.11756831145135,1
1736.37,1761.7984568733218,1681.7077237473552,1810.5856488574543,128.8779251100991,1
1197.91,1210.619617026393,1191.7973516111722,1239.6206632659362,47.823311654763984,1
679.37,671.7127037757944,650.2228135083118,701.3931004970201,51.17028698870831,1
1990.22,1940.7734456800501,1918.6794407418631,1969.3480427715372,50.66860202967405,0
922.3,973.6561140129543,895.3918914039319,998.7367882197419,103.34489681580999,1
1247.92,1282.7542947576699,1241.6934385360273,1326.1202644977893,84.426825961762,1
1771.85,1652.8132369728564,1572.4369542269378,1746.455980786163,174.01902655922527,0
1682.97,1804.1030494589243,1711.841529930357,1877.2213322230452,165.37980229268828,0
1933.9,1942.9163222705251,1724.0991617166399,2123.0918977269475,398.9927360103077,1
665.41,664.7165905798996,626.9363184640902,705.4396976710558,78.50337920696563,1
1834.57,1799.623709196825,1749.6820228628515,1833.5198079885142,83.83778512566278,0
1650.07,1654.0310432866104,1602.2546130518372,1691.4339234560957,89.17931040425856,1
889.6,898.5650644097286,853.0504996256715,924.1529676317675,71.10246800609605,1
2000.42,1908.2814590830362,1878.8555448927946,1933.089667223328,54.23412233053341,0
627.83,639.0804236133918,623.5039553786152,657.3649815465985,33.86102616798337,1
1236.22,1268.035950208462,1245.5540381276405,1287.902570266302,42.34853213866154,0
1807.09,1808.9026682464648,1753.2908188661702,1844.6913639700522,91.400545103882,1
1324.66,1292.1962146205697,1256.1377080233829,1322.6890463185507,66.55133829516785,0
1511.31,1457.1877648494637,1426.0162390293262,1472.4916557860972,46.47541675677098,0
1718.23,1747.782259581281,1719.2488978123624,1788.3577277889544,69.108829976592,0
1227.19,1209.1054739926053,1186.5880916521915,1242.7811312753872,56.19303962319577,1
665.3,687.218973795328,636.2888034670659,730.9792070582787,94.69040359121277,1
939.77,934.7524219114089,904.9003320178582,989.9021791786654,85.00184716080719,1
1238.82,1225.8356559236263,1199.532888681653,1272.4815466929242,72.94865801127116,1
1279.1,1322.4496711938082,1292.9737569388203,1349.5152383905547,56.5414814517344,0
2023.24,2103.037438102226,2061.6859730837764,2126.5162665508724,64.830293467096,0
1192.62,1209.2106425801303,1196.7429714052796,1232.277038867154,35.53406746187443,0
1591.93,1629.8840562046626,1424.106151894734,1772.893038822156,348.7868869274221,1
1303.03,1278.8486520726133,1233.3024338010212,1315.856096054766,82.55366225374496,1
666.86,656.4729435459233,631.1285404842107,685.5024158293377,54.373875345126976,1
1220.95,1245.0923291921822,1208.9392503619988,1284.8439817121916,75.90473135019283,1
1626.03,1704.256507151359,1676.2913978159397,1731.1245942214082,54.83319640546847,0
2335.49,2299.36934686568,2217.5518011129343,2365.0643884352835,147.5125873223492,1
1664.45,1850.594185183627,1722.5074462519142,1922.9019650241892,200.39451877227498,0
1261.26,1295.8976900594653,1280.3418765589483,1309.5229957680165,29.18111920906813,0
1922.21,1827.3702276232557,1776.1565980158168,1879.0822214774043,102.92562346158752,0
1097.37,1124.0267199632628,1091.9217169141302,1164.313198375111,72.39148146098069,1
1043.16,1123.9211563491708,1074.699389873276,1173.6073004559244,98.90791058264836,0
1334.74,1257.962296291278,1230.7405960570125,1285.0904881300294,54.34989207301692,0
1592.86,1579.329317117376,1551.5504936140735,1610.4159679318277,58.865474317754206,1
