date,y_true_price,pred_point,pred_median,pred_lower_90,pred_upper_90,interval_width_90,covered_90
2018-01-31,1331.67,1274.2279,1263.9264526367188,1239.86845703125,1298.8964538574219,59.02799682617183,0
2019-05-31,1283.95,1345.2938,1345.0209350585938,1314.3958862304687,1373.8145629882813,59.41867675781259,0
2014-10-31,1222.49,1252.186,1243.9368896484375,1211.83642578125,1273.7812866210938,61.94486083984384,1
2022-01-31,1816.77,1850.3517,1849.2080078125,1797.6347534179688,1889.0403686523437,91.40561523437486,1
2008-04-30,909.7,960.821,962.6808776855469,920.3878967285157,1008.5251007080078,88.13720397949214,0
2016-08-31,1341.09,1288.37,1283.9844360351562,1251.5480102539063,1318.815447998047,67.26743774414058,0
2021-05-31,1853.22,1783.8817,1782.0440063476562,1746.2194396972657,1816.9799682617188,70.76052856445312,0
2024-06-28,2326.33,2355.2173,2342.2451171875,2294.798291015625,2387.646691894531,92.84840087890598,1
2013-04-30,1485.08,1553.8185,1546.4090576171875,1502.338311767578,1596.4586791992188,94.12036743164072,0
2018-11-30,1220.95,1183.2196,1181.7058715820312,1149.7011840820312,1221.23642578125,71.53524169921889,1
2015-05-29,1199.05,1173.6823,1172.251220703125,1151.3290588378907,1201.5914367675782,50.262377929687545,1
2009-07-31,934.23,948.3578,947.7779235839844,909.7985778808594,992.8345336914062,83.03595581054685,1
2022-11-30,1726.45,1743.1382,1735.7874755859375,1688.9620483398437,1789.9577331542969,100.99568481445317,1
2007-10-31,754.6,731.6811,734.580078125,689.6888397216796,780.8588928222656,91.17005310058596,1
2012-08-31,1626.03,1623.1677,1608.044921875,1566.9813598632813,1654.786083984375,87.80472412109361,1
2025-04-30,3207.48,3069.8555,3044.5076904296875,2976.215441894531,3093.623083496094,117.40764160156277,0
2021-08-31,1783.97,1823.5356,1817.6904907226562,1777.0469177246093,1857.484637451172,80.43771972656259,1
2008-07-31,939.77,893.5699,897.166259765625,852.0038330078125,946.6450012207031,94.64116821289053,1
2023-06-30,1942.9,1970.274,1968.6967163085938,1926.9785278320312,2012.4346130371093,85.45608520507812,1
2012-07-31,1593.91,1622.9994,1610.7249145507812,1567.11884765625,1651.3619750976563,84.24312744140639,1
2022-10-31,1664.45,1713.3688,1710.0017700195312,1664.7645141601563,1754.9552917480469,90.19077758789058,0
2015-01-30,1251.85,1186.5034,1185.7816162109375,1157.7939331054688,1219.9332153320313,62.1392822265625,0
2024-08-30,2467.97,2508.514,2494.8343505859375,2438.5246704101564,2544.3125122070314,105.787841796875,1
2009-02-27,943.16,908.3338,907.1900329589844,866.2354400634765,954.2008697509765,87.96542968749998,1
2017-08-31,1282.32,1255.4622,1255.3348388671875,1221.3658203125,1286.4461364746094,65.08031616210928,1
2023-10-31,1913.04,1989.9656,1990.9262084960938,1936.9020263671875,2035.3718872070312,98.4698608398437,0
2015-02-27,1227.19,1211.5779,1207.1552124023438,1171.1438293457031,1243.3761413574218,72.2323120117187,1
2008-05-30,888.66,936.35175,937.5788269042969,902.194677734375,975.33759765625,73.14291992187498,0
2010-10-29,1342.02,1281.2054,1280.8992309570312,1254.1893798828125,1310.933642578125,56.7442626953125,0
2019-11-29,1470.02,1542.2533,1523.2763671875,1489.8211486816406,1553.7506103515625,63.92946166992192,0
2016-04-29,1242.26,1235.4777,1234.7837524414062,1191.8182067871094,1286.9858032226562,95.16759643554678,1
2011-08-31,1755.81,1657.9437,1651.2279052734375,1605.446240234375,1693.8346130371094,88.38837280273447,0
2016-01-29,1097.37,1117.8817,1113.7098388671875,1075.6865478515624,1159.0112609863281,83.32471313476572,1
2023-05-31,1990.22,1954.2703,1949.8973388671875,1898.422314453125,1990.1009948730468,91.67868041992188,0
2013-02-28,1627.59,1653.6118,1643.5637817382812,1599.14033203125,1685.1733947753905,86.03306274414058,1
2016-02-29,1199.91,1151.6508,1153.636962890625,1102.5164916992187,1198.1386108398438,95.62211914062505,0
2013-11-29,1275.82,1304.9652,1301.8006591796875,1268.5044799804687,1337.1139099121094,68.60942993164076,1
2018-07-31,1238.53,1264.2004,1260.5769653320312,1233.8635864257812,1291.105535888672,57.241949462890716,1
2018-10-31,1215.39,1167.6646,1164.6226196289062,1131.281475830078,1201.408428955078,70.126953125,0
2015-06-30,1181.5,1159.2001,1159.0073852539062,1133.2474487304687,1192.4106323242188,59.16318359375009,1
2014-03-31,1336.08,1312.114,1304.5238647460938,1276.3238098144532,1329.0956481933592,52.77183837890607,0
2023-02-28,1854.54,1928.0375,1917.5859985351562,1867.1330627441407,1963.6616821289062,96.52861938476553,0
2017-01-31,1192.62,1208.3042,1203.8749389648438,1175.36796875,1252.2343139648438,76.8663452148437,1
2014-12-31,1202.29,1189.749,1187.3682250976562,1158.1734558105468,1214.5130615234375,56.339605712890716,1
2013-08-30,1347.1,1249.4244,1251.9537963867188,1211.1946960449218,1288.399884033203,77.2051879882813,0
