Date,^VIX
2019-02-23,13.51000023
2019-02-24,13.51000023
2019-02-25,14.85000038
2019-02-26,15.17000008
2019-02-27,14.69999981
2019-02-28,14.77999973
2019-03-01,13.56999969
2019-03-02,13.56999969
2019-03-03,13.56999969
2019-03-04,14.63000011
2019-03-05,14.73999977
2019-03-06,15.73999977
2019-03-07,16.59000015
2019-03-08,16.04999924
2019-03-09,16.04999924
2019-03-10,16.04999924
2019-03-11,14.32999992
2019-03-12,13.77000046
2019-03-13,13.40999985
2019-03-14,13.5
2019-03-15,12.88000011
2019-03-16,12.88000011
2019-03-17,12.88000011
2019-03-18,13.10000038
2019-03-19,13.56000042
2019-03-20,13.90999985
2019-03-21,13.63000011
2019-03-22,16.47999954
2019-03-23,16.47999954
2019-03-24,16.47999954
2019-03-25,16.32999992
2019-03-26,14.68000031
2019-03-27,15.14999962
2019-03-28,14.43000031
2019-03-29,13.71000004
2019-03-30,13.71000004
2019-03-31,13.71000004
2019-04-01,13.39999962
2019-04-02,13.35999966
2019-04-03,13.73999977
2019-04-04,13.57999992
2019-04-05,12.81999969
2019-04-06,12.81999969
2019-04-07,12.81999969
2019-04-08,13.18000031
2019-04-09,14.27999973
2019-04-10,13.30000019
2019-04-11,13.02000046
2019-04-12,12.01000023
2019-04-13,12.01000023
2019-04-14,12.01000023
2019-04-15,12.31999969
2019-04-16,12.18000031
2019-04-17,12.60000038
2019-04-18,12.09000015
2019-04-19,12.09000015
2019-04-20,12.09000015
2019-04-21,12.09000015
2019-04-22,12.42000008
2019-04-23,12.27999973
2019-04-24,13.14000034
2019-04-25,13.25
2019-04-26,12.72999954
2019-04-27,12.72999954
2019-04-28,12.72999954
2019-04-29,13.10999966
2019-04-30,13.11999989
2019-05-01,14.80000019
2019-05-02,14.42000008
2019-05-03,12.86999989
2019-05-04,12.86999989
2019-05-05,12.86999989
2019-05-06,15.43999958
2019-05-07,19.31999969
2019-05-08,19.39999962
2019-05-09,19.10000038
2019-05-10,16.04000092
2019-05-11,16.04000092
2019-05-12,16.04000092
2019-05-13,20.54999924
2019-05-14,18.05999947
2019-05-15,16.44000053
2019-05-16,15.28999996
2019-05-17,15.96000004
2019-05-18,15.96000004
2019-05-19,15.96000004
2019-05-20,16.30999947
2019-05-21,14.94999981
2019-05-22,14.75
2019-05-23,16.92000008
2019-05-24,15.85000038
2019-05-25,15.85000038
2019-05-26,15.85000038
2019-05-27,15.85000038
2019-05-28,17.5
2019-05-29,17.89999962
2019-05-30,17.29999924
2019-05-31,18.70999908
2019-06-01,18.70999908
2019-06-02,18.70999908
2019-06-03,18.86000061
2019-06-04,16.96999931
2019-06-05,16.09000015
2019-06-06,15.93000031
2019-06-07,16.29999924
2019-06-08,16.29999924
2019-06-09,16.29999924
2019-06-10,15.93999958
2019-06-11,15.98999977
2019-06-12,15.90999985
2019-06-13,15.81999969
2019-06-14,15.27999973
2019-06-15,15.27999973
2019-06-16,15.27999973
2019-06-17,15.35000038
2019-06-18,15.14999962
2019-06-19,14.32999992
2019-06-20,14.75
2019-06-21,15.39999962
2019-06-22,15.39999962
2019-06-23,15.39999962
2019-06-24,15.26000023
2019-06-25,16.28000069
2019-06-26,16.20999908
2019-06-27,15.81999969
2019-06-28,15.07999992
2019-06-29,15.07999992
2019-06-30,15.07999992
2019-07-01,14.06000042
2019-07-02,12.93000031
2019-07-03,12.56999969
2019-07-04,12.56999969
2019-07-05,13.27999973
2019-07-06,13.27999973
2019-07-07,13.27999973
2019-07-08,13.96000004
2019-07-09,14.09000015
2019-07-10,13.02999973
2019-07-11,12.93000031
2019-07-12,12.39000034
2019-07-13,12.39000034
2019-07-14,12.39000034
2019-07-15,12.68000031
2019-07-16,12.85999966
2019-07-17,13.97000027
2019-07-18,13.52999973
2019-07-19,14.44999981
2019-07-20,14.44999981
2019-07-21,14.44999981
2019-07-22,13.52999973
2019-07-23,12.60999966
2019-07-24,12.06999969
2019-07-25,12.73999977
2019-07-26,12.15999985
2019-07-27,12.15999985
2019-07-28,12.15999985
2019-07-29,12.82999992
2019-07-30,13.93999958
2019-07-31,16.12000084
2019-08-01,17.87000084
2019-08-02,17.61000061
2019-08-03,17.61000061
2019-08-04,17.61000061
2019-08-05,24.59000015
2019-08-06,20.17000008
2019-08-07,19.48999977
2019-08-08,16.90999985
2019-08-09,17.96999931
2019-08-10,17.96999931
2019-08-11,17.96999931
2019-08-12,21.09000015
2019-08-13,17.52000046
2019-08-14,22.10000038
2019-08-15,21.18000031
2019-08-16,18.46999931
2019-08-17,18.46999931
2019-08-18,18.46999931
2019-08-19,16.87999916
2019-08-20,17.5
2019-08-21,15.80000019
2019-08-22,16.68000031
2019-08-23,19.87000084
2019-08-24,19.87000084
2019-08-25,19.87000084
2019-08-26,19.31999969
2019-08-27,20.30999947
2019-08-28,19.35000038
2019-08-29,17.87999916
2019-08-30,18.97999954
2019-08-31,18.97999954
2019-09-01,18.97999954
2019-09-02,18.97999954
2019-09-03,19.65999985
2019-09-04,17.32999992
2019-09-05,16.27000046
2019-09-06,15.0
2019-09-07,15.0
2019-09-08,15.0
2019-09-09,15.27000046
2019-09-10,15.19999981
2019-09-11,14.60999966
2019-09-12,14.22000027
2019-09-13,13.73999977
2019-09-14,13.73999977
2019-09-15,13.73999977
2019-09-16,14.67000008
2019-09-17,14.43999958
2019-09-18,13.94999981
2019-09-19,14.05000019
2019-09-20,15.31999969
2019-09-21,15.31999969
2019-09-22,15.31999969
2019-09-23,14.90999985
2019-09-24,17.04999924
2019-09-25,15.96000004
2019-09-26,16.06999969
2019-09-27,17.21999931
2019-09-28,17.21999931
2019-09-29,17.21999931
2019-09-30,16.23999977
2019-10-01,18.55999947
2019-10-02,20.55999947
2019-10-03,19.12000084
2019-10-04,17.04000092
2019-10-05,17.04000092
2019-10-06,17.04000092
2019-10-07,17.86000061
2019-10-08,20.28000069
2019-10-09,18.63999939
2019-10-10,17.56999969
2019-10-11,15.57999992
2019-10-12,15.57999992
