date,y_true_price,pred_point,pred_median,pred_lower_90,pred_upper_90,interval_width_90,covered_90
2018-01-31,1331.67,1284.0415,1283.1259155273438,1257.5065856933593,1306.49296875,48.98638305664076,0
2019-05-31,1283.95,1328.2024,1326.7142944335938,1289.0565246582032,1363.98896484375,74.93244018554674,0
2014-10-31,1222.49,1217.1874,1215.0607299804688,1185.0258483886719,1253.3480712890625,68.32222290039067,1
2022-01-31,1816.77,1803.5009,1801.3950805664062,1763.809552001953,1845.5551330566407,81.74558105468759,1
2008-04-30,909.7,968.09937,970.2305297851562,934.4489135742188,1018.8112091064453,84.36229553222654,0
2016-08-31,1341.09,1260.1432,1260.6461791992188,1227.9271484375,1295.4101135253907,67.48296508789076,0
2021-05-31,1853.22,1771.3757,1771.9928588867188,1725.6833190917969,1818.7775024414063,93.09418334960947,0
2024-06-28,2326.33,2363.318,2345.829345703125,2278.013330078125,2404.6745361328126,126.66120605468768,1
2013-04-30,1485.08,1577.505,1570.54541015625,1520.2764770507813,1621.6341064453125,101.35762939453116,0
2018-11-30,1220.95,1219.593,1217.66943359375,1182.661083984375,1247.0353088378906,64.37422485351567,1
2015-05-29,1199.05,1180.3541,1179.524169921875,1157.8745056152343,1216.3849670410157,58.510461425781386,1
2009-07-31,934.23,946.86847,953.1043395996094,912.1881225585937,1004.3449584960937,92.15683593749998,1
2022-11-30,1726.45,1776.5496,1774.720703125,1730.0649719238281,1814.9938598632812,84.92888793945303,0
2007-10-31,754.6,742.04193,751.4083862304688,702.9099853515625,801.5243774414062,98.6143920898437,1
2012-08-31,1626.03,1641.9564,1639.6516723632812,1591.3990173339844,1687.8115661621093,96.41254882812495,1
2025-04-30,3207.48,3033.1177,2998.605712890625,2935.6572875976562,3063.404260253906,127.74697265624991,0
2021-08-31,1783.97,1780.038,1783.2827758789062,1733.6072143554688,1821.6950744628907,88.08786010742188,1
2008-07-31,939.77,909.7984,921.5852966308594,867.7952667236328,975.1310180664062,107.33575134277339,1
2023-06-30,1942.9,1949.8248,1944.3886108398438,1897.3592529296875,1993.930352783203,96.57109985351553,1
2012-07-31,1593.91,1634.5934,1627.9832153320312,1574.6770874023437,1682.6065185546875,107.9294311523438,1
2022-10-31,1664.45,1730.2493,1726.0786743164062,1683.5471069335938,1764.6493347167968,81.10222778320303,0
2015-01-30,1251.85,1194.375,1192.5950927734375,1171.1280151367187,1218.2506225585937,47.122607421875045,0
2024-08-30,2467.97,2481.2366,2467.89208984375,2390.0881958007812,2524.2372924804686,134.14909667968732,1
2009-02-27,943.16,863.4432,871.9501342773438,816.2264862060547,934.7601165771483,118.53363037109364,0
2017-08-31,1282.32,1258.8462,1258.11767578125,1229.8726318359375,1287.279071044922,57.406439208984466,1
2023-10-31,1913.04,1938.5486,1935.509521484375,1882.93994140625,1982.08740234375,99.1474609375,1
2015-02-27,1227.19,1188.043,1186.5958251953125,1161.3626098632812,1215.0761840820312,53.713574218749955,0
2008-05-30,888.66,951.75366,958.4797058105469,915.8998229980468,1002.9279296875,87.02810668945312,0
2010-10-29,1342.02,1300.6937,1297.104248046875,1256.1075256347656,1330.1746948242187,74.06716918945312,0
2019-11-29,1470.02,1511.7632,1510.4406127929688,1470.9462158203125,1546.9346679687499,75.98845214843732,0
2016-04-29,1242.26,1238.715,1233.748046875,1194.063330078125,1275.3006896972656,81.23735961914053,1
2011-08-31,1755.81,1662.6354,1654.26904296875,1597.3977905273437,1720.3614135742187,122.963623046875,0
2016-01-29,1097.37,1130.3984,1130.7032470703125,1087.2385864257812,1188.493798828125,101.25521240234366,1
2023-05-31,1990.22,1925.4955,1920.0157470703125,1871.5536804199219,1963.0633972167968,91.50971679687495,0
2013-02-28,1627.59,1658.6797,1654.7058715820312,1599.829766845703,1705.5643981933595,105.73463134765643,1
2016-02-29,1199.91,1185.5957,1190.56640625,1139.1719604492187,1231.4043518066405,92.23239135742188,1
2013-11-29,1275.82,1312.1313,1312.278076171875,1283.7860778808595,1338.25302734375,54.466949462890625,0
2018-07-31,1238.53,1264.6907,1264.2422485351562,1240.1355529785155,1294.6017456054688,54.466192626953216,0
2018-10-31,1215.39,1224.5731,1222.5538940429688,1192.6165954589844,1248.950018310547,56.333422851562545,1
2015-06-30,1181.5,1186.6627,1189.9732055664062,1165.6520874023438,1214.1505310058594,48.498443603515625,1
2014-03-31,1336.08,1301.9753,1299.6118774414062,1276.9038391113281,1324.5978881835938,47.69404907226567,0
2023-02-28,1854.54,1872.3452,1868.375,1821.477716064453,1911.7474670410156,90.26975097656259,1
2017-01-31,1192.62,1216.1461,1213.40869140625,1186.5288879394532,1245.7593688964844,59.230480957031205,1
2014-12-31,1202.29,1204.5575,1201.2467041015625,1176.6015258789062,1228.2243103027345,51.62278442382831,1
2013-08-30,1347.1,1314.3453,1312.8474731445312,1284.2311401367188,1341.9272094726562,57.69606933593741,0
